SOURCE,TARGET,RATING,TIME
1412,1317,1,26/10/2011
1353,1352,5,26/10/2011
1352,1353,5,26/10/2011
1353,1396,2,26/10/2011
882,1396,2,26/10/2011
1386,1412,1,26/10/2011
1396,1525,2,27/10/2011
1520,905,2,27/10/2011
905,1535,1,27/10/2011
1535,905,1,27/10/2011
1535,1396,1,27/10/2011
1317,1386,5,27/10/2011
1386,167,3,28/10/2011
1525,1386,2,28/10/2011
1412,1386,2,28/10/2011
1386,1536,1,28/10/2011
35,1525,1,28/10/2011
7,1386,2,28/10/2011
13,1537,1,28/10/2011
1537,13,1,28/10/2011
1353,1538,1,28/10/2011
1538,1353,1,28/10/2011
1352,1487,1,28/10/2011
1487,1352,1,28/10/2011
1352,35,2,29/10/2011
35,1352,2,29/10/2011
35,1539,1,29/10/2011
35,1540,1,29/10/2011
1353,1383,4,29/10/2011
1396,1353,3,29/10/2011
1396,1244,1,29/10/2011
1244,1396,1,29/10/2011
1348,1463,2,30/10/2011
1463,1348,2,30/10/2011
1396,628,1,30/10/2011
628,1396,3,30/10/2011
1245,1383,2,31/10/2011
1383,1245,1,31/10/2011
1317,1541,1,31/10/2011
1541,1317,1,31/10/2011
1348,1542,1,31/10/2011
1542,1348,1,31/10/2011
1352,465,1,31/10/2011
465,1352,1,31/10/2011
1543,1396,3,31/10/2011
1543,1217,6,31/10/2011
1543,1525,1,31/10/2011
1543,1512,1,31/10/2011
1543,1544,3,31/10/2011
1544,1543,3,31/10/2011
660,1545,10,31/10/2011
1386,1546,1,31/10/2011
1546,1386,1,31/10/2011
35,1547,1,01/11/2011
35,1548,1,01/11/2011
35,1544,1,01/11/2011
1544,35,1,01/11/2011
1548,35,1,01/11/2011
1547,35,1,01/11/2011
1217,1549,1,02/11/2011
775,1550,1,02/11/2011
775,1478,2,02/11/2011
1550,775,1,02/11/2011
775,1539,1,02/11/2011
1539,1520,3,03/11/2011
1539,775,1,03/11/2011
104,1490,3,03/11/2011
1490,104,1,03/11/2011
104,1551,3,03/11/2011
1551,104,3,03/11/2011
35,1552,1,03/11/2011
1217,1543,5,03/11/2011
1478,1539,1,03/11/2011
1539,1478,1,03/11/2011
1552,35,1,03/11/2011
1548,1544,1,03/11/2011
1544,1548,1,03/11/2011
1478,775,2,04/11/2011
1217,36,1,04/11/2011
36,1217,1,04/11/2011
1217,1550,5,04/11/2011
1543,1539,2,04/11/2011
1368,545,1,04/11/2011
1386,1553,1,04/11/2011
1553,1386,1,04/11/2011
1412,1334,2,05/11/2011
1525,1543,3,05/11/2011
1386,1353,-1,05/11/2011
1525,1334,2,05/11/2011
1334,1525,2,05/11/2011
1541,1,1,05/11/2011
1,1541,3,05/11/2011
1526,1334,1,06/11/2011
1334,1526,1,06/11/2011
1334,1396,4,06/11/2011
1396,1554,1,06/11/2011
1520,1334,1,06/11/2011
1317,1352,5,06/11/2011
802,1555,2,06/11/2011
1555,802,2,06/11/2011
1334,1548,1,06/11/2011
1548,1334,1,06/11/2011
592,35,2,07/11/2011
1520,1556,2,07/11/2011
1353,1386,-5,07/11/2011
1556,465,8,07/11/2011
1,1557,1,07/11/2011
1557,1,1,07/11/2011
35,1558,1,07/11/2011
1557,1548,1,07/11/2011
184,1334,1,07/11/2011
1334,184,1,07/11/2011
35,1557,1,08/11/2011
1404,1386,2,08/11/2011
1557,35,1,08/11/2011
1549,1217,1,08/11/2011
1386,1352,5,08/11/2011
1539,1543,2,08/11/2011
1317,1487,2,08/11/2011
1396,35,2,08/11/2011
35,1396,2,08/11/2011
1539,1548,2,08/11/2011
1539,1386,2,08/11/2011
1548,1539,2,08/11/2011
1386,1539,1,08/11/2011
37,1334,1,08/11/2011
1334,37,1,08/11/2011
1520,1539,1,08/11/2011
1383,37,1,08/11/2011
37,1383,1,08/11/2011
1383,1557,1,09/11/2011
178,1464,1,09/11/2011
573,1559,5,09/11/2011
1559,573,5,09/11/2011
1521,1548,1,09/11/2011
1520,1541,3,09/11/2011
1541,1520,2,09/11/2011
1348,1383,1,09/11/2011
1383,1348,1,09/11/2011
35,1560,1,09/11/2011
35,1561,1,09/11/2011
1383,1562,1,09/11/2011
41,1512,2,09/11/2011
1383,1548,2,09/11/2011
1548,1383,2,09/11/2011
1,1386,5,10/11/2011
1375,1519,1,10/11/2011
1519,1375,2,10/11/2011
1521,1383,1,10/11/2011
1539,1562,1,10/11/2011
1562,1539,1,10/11/2011
1396,1539,1,10/11/2011
1539,1396,1,10/11/2011
1548,1557,1,10/11/2011
1548,1564,1,10/11/2011
1512,41,2,10/11/2011
1383,1521,1,10/11/2011
35,1383,1,10/11/2011
1383,35,2,10/11/2011
1383,1369,1,10/11/2011
1369,1383,1,10/11/2011
1217,1383,2,10/11/2011
540,1348,1,11/11/2011
1348,540,1,11/11/2011
1512,1386,2,11/11/2011
546,1548,2,11/11/2011
1548,546,1,11/11/2011
1502,1396,4,11/11/2011
1560,35,1,11/11/2011
1334,64,1,12/11/2011
64,1334,1,12/11/2011
1348,1568,1,12/11/2011
1568,1348,2,12/11/2011
1569,1568,2,12/11/2011
1568,1569,2,12/11/2011
1568,1386,1,12/11/2011
1396,1555,1,12/11/2011
1555,1396,1,12/11/2011
1562,1570,1,13/11/2011
1570,1562,1,13/11/2011
1383,1571,1,13/11/2011
7,1525,4,13/11/2011
1525,7,4,13/11/2011
1567,545,1,13/11/2011
134,1572,-10,13/11/2011
134,1,1,13/11/2011
1,134,3,13/11/2011
1,350,1,13/11/2011
350,1,1,13/11/2011
1529,469,1,13/11/2011
469,1529,1,13/11/2011
775,1573,2,13/11/2011
540,786,1,13/11/2011
786,540,1,13/11/2011
1478,1383,1,14/11/2011
1555,1575,1,14/11/2011
1575,1555,1,14/11/2011
1573,775,2,14/11/2011
1566,1529,1,14/11/2011
1529,1566,1,14/11/2011
1570,1577,1,14/11/2011
1566,1544,3,15/11/2011
905,1578,1,15/11/2011
1383,1579,1,15/11/2011
1579,1383,1,15/11/2011
1544,1566,3,15/11/2011
1566,1543,1,15/11/2011
1548,1521,1,15/11/2011
1543,1566,2,15/11/2011
1562,1580,1,15/11/2011
1580,1562,1,15/11/2011
1543,1574,3,16/11/2011
1574,1543,3,16/11/2011
1396,41,2,16/11/2011
41,1396,2,16/11/2011
1556,1542,2,16/11/2011
1542,1556,2,16/11/2011
1478,1352,2,16/11/2011
35,1581,1,16/11/2011
1581,35,1,16/11/2011
1543,1582,1,16/11/2011
1582,1543,1,16/11/2011
1566,1583,1,16/11/2011
1583,1566,1,16/11/2011
1,1353,2,16/11/2011
1353,1,5,16/11/2011
1317,1584,1,16/11/2011
1584,1317,1,16/11/2011
1396,882,6,16/11/2011
1520,1317,2,17/11/2011
1317,1520,2,17/11/2011
1576,1585,1,17/11/2011
1585,1576,1,17/11/2011
1386,1526,2,17/11/2011
1526,1386,2,17/11/2011
1543,1585,1,17/11/2011
775,1354,8,17/11/2011
775,1217,9,17/11/2011
775,112,3,17/11/2011
1566,1586,1,17/11/2011
1586,1566,1,17/11/2011
1566,1587,1,18/11/2011
1566,1588,1,18/11/2011
1588,1566,1,18/11/2011
873,35,1,18/11/2011
1585,1589,2,18/11/2011
35,873,1,18/11/2011
1579,1590,2,18/11/2011
1590,1579,2,18/11/2011
1301,1334,1,19/11/2011
1396,1574,3,19/11/2011
1536,1386,3,20/11/2011
775,1562,1,20/11/2011
35,1593,1,20/11/2011
35,1594,1,20/11/2011
1562,775,1,21/11/2011
1386,550,1,21/11/2011
550,1386,1,21/11/2011
937,1317,1,22/11/2011
1317,937,1,22/11/2011
1593,35,1,22/11/2011
1566,1322,1,22/11/2011
1322,1566,1,22/11/2011
1566,1596,1,22/11/2011
1596,1566,1,22/11/2011
546,1596,1,22/11/2011
1596,546,1,22/11/2011
1502,905,1,22/11/2011
1596,1386,1,22/11/2011
1566,1597,1,22/11/2011
1597,1566,1,22/11/2011
1386,1596,1,22/11/2011
1574,1396,3,22/11/2011
1386,1574,1,22/11/2011
1568,1598,1,22/11/2011
1317,1599,1,23/11/2011
1566,1598,1,23/11/2011
1598,1566,1,23/11/2011
1593,1555,1,23/11/2011
1555,1593,1,23/11/2011
1572,1600,10,23/11/2011
35,1601,1,23/11/2011
1566,1595,2,23/11/2011
775,1602,2,23/11/2011
1386,786,3,23/11/2011
1602,775,1,23/11/2011
6,1386,3,23/11/2011
1585,1603,1,24/11/2011
1603,1585,1,24/11/2011
1478,1604,1,24/11/2011
1604,1478,1,24/11/2011
1593,1566,2,24/11/2011
1566,1593,1,24/11/2011
1555,1606,1,24/11/2011
1386,1555,1,24/11/2011
1606,1555,1,24/11/2011
1605,35,1,24/11/2011
353,1605,1,25/11/2011
1605,353,1,25/11/2011
1601,35,1,25/11/2011
1354,775,8,25/11/2011
1555,1605,1,25/11/2011
1605,937,1,25/11/2011
937,1605,1,25/11/2011
1605,1555,1,25/11/2011
1574,1386,3,25/11/2011
1317,905,5,25/11/2011
905,1600,-10,25/11/2011
1543,1529,3,26/11/2011
1555,225,1,26/11/2011
225,1555,1,26/11/2011
1566,1605,2,26/11/2011
1605,1566,2,26/11/2011
1383,1568,1,26/11/2011
1568,1383,1,26/11/2011
1568,1608,1,26/11/2011
1608,1568,1,26/11/2011
1585,545,1,27/11/2011
1585,41,1,28/11/2011
41,1585,1,28/11/2011
41,1348,1,28/11/2011
1348,41,1,28/11/2011
353,1609,1,28/11/2011
1609,353,3,28/11/2011
1386,41,5,28/11/2011
1473,566,-10,28/11/2011
1539,545,1,28/11/2011
1585,1610,1,28/11/2011
1610,905,2,28/11/2011
1610,1585,1,28/11/2011
1562,266,1,28/11/2011
266,1562,1,28/11/2011
1566,1611,1,28/11/2011
1611,1566,1,28/11/2011
1611,1579,1,28/11/2011
7,80,3,28/11/2011
1478,1611,1,29/11/2011
35,1492,1,29/11/2011
1609,937,1,29/11/2011
1611,1478,1,29/11/2011
35,1613,1,29/11/2011
35,1597,1,29/11/2011
1386,4,2,30/11/2011
4,1386,2,30/11/2011
1566,1576,2,30/11/2011
1613,35,1,30/11/2011
546,1245,1,30/11/2011
1245,546,1,30/11/2011
1566,1607,2,30/11/2011
1562,1526,1,01/12/2011
1526,1562,1,01/12/2011
1566,1614,1,01/12/2011
1614,1566,1,01/12/2011
35,1615,1,01/12/2011
309,1316,2,01/12/2011
1386,1316,3,01/12/2011
1585,1316,1,01/12/2011
1316,1585,1,01/12/2011
1562,1608,1,01/12/2011
1608,1562,1,01/12/2011
1383,1576,1,01/12/2011
775,1179,2,01/12/2011
1317,1616,1,02/12/2011
1616,1317,1,02/12/2011
1616,1499,5,02/12/2011
1281,1617,1,02/12/2011
1617,1281,1,02/12/2011
1515,35,5,02/12/2011
35,1515,2,02/12/2011
1179,775,2,02/12/2011
1179,545,1,02/12/2011
1566,353,1,02/12/2011
1591,1566,2,02/12/2011
1566,1591,2,02/12/2011
41,1386,8,03/12/2011
1568,1618,1,03/12/2011
1618,1568,1,03/12/2011
35,1618,1,03/12/2011
1618,35,1,03/12/2011
1334,1618,2,03/12/2011
1618,1334,2,03/12/2011
546,1334,1,03/12/2011
546,1386,3,03/12/2011
1566,1619,1,03/12/2011
1619,1566,1,03/12/2011
1566,4,1,04/12/2011
1522,1386,2,04/12/2011
1566,1522,1,04/12/2011
1522,1566,1,04/12/2011
1618,25,1,04/12/2011
1568,1334,1,04/12/2011
1317,1620,2,04/12/2011
1568,1607,2,04/12/2011
1568,1585,1,04/12/2011
1585,1568,1,04/12/2011
1317,537,3,04/12/2011
1317,1621,1,04/12/2011
1621,1317,1,04/12/2011
1585,1621,1,04/12/2011
1621,1585,1,04/12/2011
4,1566,1,04/12/2011
537,1585,3,04/12/2011
537,1317,1,04/12/2011
1618,1383,1,04/12/2011
1585,861,1,04/12/2011
1317,1,7,04/12/2011
1620,437,2,04/12/2011
1566,1618,2,04/12/2011
1217,1622,1,05/12/2011
1517,1290,1,05/12/2011
1386,1517,1,05/12/2011
1607,1568,3,06/12/2011
1517,1386,2,06/12/2011
1386,1623,1,06/12/2011
537,7,5,06/12/2011
7,537,4,06/12/2011
1348,35,2,06/12/2011
35,1348,2,06/12/2011
1217,1615,1,06/12/2011
1290,537,1,06/12/2011
537,1290,1,06/12/2011
1620,1317,2,07/12/2011
1383,1623,1,07/12/2011
1623,1383,1,07/12/2011
1623,1386,1,07/12/2011
1620,1624,2,07/12/2011
1592,775,5,07/12/2011
1566,1625,1,07/12/2011
1595,1566,5,07/12/2011
1217,1492,2,07/12/2011
1562,1217,3,07/12/2011
353,1566,4,07/12/2011
1625,1566,1,07/12/2011
1555,1591,2,07/12/2011
1162,1555,1,07/12/2011
1555,1162,2,07/12/2011
537,135,1,08/12/2011
135,537,1,08/12/2011
135,1585,1,08/12/2011
1566,1626,1,08/12/2011
1626,1566,1,08/12/2011
1622,1217,2,08/12/2011
35,1627,1,08/12/2011
1627,35,1,08/12/2011
1555,1487,1,08/12/2011
1487,1555,1,08/12/2011
353,1562,1,08/12/2011
1562,353,1,08/12/2011
1555,1348,2,08/12/2011
1348,1555,1,08/12/2011
1487,1628,1,09/12/2011
1487,1518,1,09/12/2011
1628,1487,1,09/12/2011
1386,1518,1,09/12/2011
41,10,4,09/12/2011
1628,1629,1,09/12/2011
10,41,8,09/12/2011
1629,25,10,09/12/2011
1290,1631,5,09/12/2011
1631,1290,10,09/12/2011
1566,592,1,09/12/2011
592,1566,1,09/12/2011
1585,537,1,09/12/2011
1624,1620,5,09/12/2011
546,1632,1,09/12/2011
1632,546,1,09/12/2011
41,1633,1,10/12/2011
1633,41,1,10/12/2011
1386,1634,1,10/12/2011
1634,1386,2,10/12/2011
178,1386,2,10/12/2011
1386,178,1,10/12/2011
178,1,8,10/12/2011
178,1201,2,10/12/2011
775,1592,4,10/12/2011
775,1635,2,10/12/2011
1499,1636,1,10/12/2011
1334,1636,1,10/12/2011
1290,1636,2,10/12/2011
1626,1636,1,10/12/2011
184,96,1,10/12/2011
1,178,7,10/12/2011
1396,1473,3,10/12/2011
96,184,1,10/12/2011
1618,1566,5,11/12/2011
1386,184,2,11/12/2011
35,1625,1,11/12/2011
7,545,1,11/12/2011
1635,775,2,11/12/2011
1317,1585,2,12/12/2011
1585,1317,2,12/12/2011
1386,1585,2,12/12/2011
546,1637,1,12/12/2011
1637,546,1,12/12/2011
1566,896,1,12/12/2011
537,1566,1,12/12/2011
1363,1639,1,12/12/2011
1639,1363,1,12/12/2011
35,1640,1,12/12/2011
1386,1628,1,12/12/2011
1628,1386,1,12/12/2011
1566,621,1,13/12/2011
621,1566,1,13/12/2011
41,1,8,13/12/2011
1562,1628,1,13/12/2011
1628,1641,1,13/12/2011
1628,1562,1,13/12/2011
1566,1451,1,13/12/2011
1451,1566,1,13/12/2011
1641,1628,1,13/12/2011
1585,1642,1,13/12/2011
1642,1585,1,13/12/2011
899,1643,9,13/12/2011
899,1566,1,13/12/2011
1566,899,1,13/12/2011
1637,1585,1,13/12/2011
1585,1637,1,13/12/2011
1515,1566,1,13/12/2011
1566,1515,1,13/12/2011
1566,537,3,13/12/2011
1053,1565,1,13/12/2011
1565,1053,1,13/12/2011
1053,1628,1,13/12/2011
1585,1403,1,14/12/2011
1526,1644,1,14/12/2011
1348,537,1,14/12/2011
537,1348,1,14/12/2011
1644,1526,1,14/12/2011
1644,545,1,14/12/2011
35,1644,1,14/12/2011
1565,1645,1,14/12/2011
1645,1565,1,14/12/2011
1217,1562,2,14/12/2011
1548,1386,2,14/12/2011
1386,1548,1,14/12/2011
1369,1386,1,15/12/2011
1386,1369,1,15/12/2011
1541,25,10,15/12/2011
6,537,5,15/12/2011
537,6,5,15/12/2011
64,304,2,15/12/2011
1628,1053,1,15/12/2011
1566,1646,1,15/12/2011
1640,35,2,15/12/2011
1566,1634,1,15/12/2011
1634,1566,1,15/12/2011
1396,1502,5,15/12/2011
1566,1527,1,15/12/2011
1527,1566,1,15/12/2011
178,1647,7,15/12/2011
1576,1566,4,16/12/2011
1566,1648,1,16/12/2011
1648,1566,10,16/12/2011
905,1201,4,16/12/2011
1201,905,4,16/12/2011
592,1,3,16/12/2011
1,592,3,16/12/2011
1353,1478,3,16/12/2011
1386,1647,-1,16/12/2011
1555,1566,3,16/12/2011
1566,1555,1,16/12/2011
1591,1555,3,16/12/2011
1487,304,2,16/12/2011
1478,1353,1,17/12/2011
1053,537,1,17/12/2011
537,1053,1,17/12/2011
7,125,3,17/12/2011
1386,1629,1,17/12/2011
125,7,4,17/12/2011
35,1651,1,17/12/2011
1487,1647,-1,17/12/2011
1566,1222,2,18/12/2011
1222,1566,2,18/12/2011
775,1653,1,18/12/2011
1317,6,5,19/12/2011
6,1317,2,19/12/2011
1566,1394,1,19/12/2011
1629,1585,1,19/12/2011
1585,1629,1,19/12/2011
7,1629,1,19/12/2011
1629,7,2,19/12/2011
35,1654,1,19/12/2011
35,1655,1,19/12/2011
1654,35,1,19/12/2011
184,1620,1,19/12/2011
1566,1654,1,19/12/2011
1654,1566,1,19/12/2011
1566,546,2,19/12/2011
546,1566,2,19/12/2011
1566,6,1,19/12/2011
6,1566,1,19/12/2011
1562,537,1,19/12/2011
537,1562,1,19/12/2011
1348,545,2,19/12/2011
1585,1566,3,20/12/2011
1566,1585,3,20/12/2011
1492,35,2,20/12/2011
1421,1386,2,20/12/2011
1655,35,1,20/12/2011
1566,1655,1,20/12/2011
1655,1566,1,20/12/2011
1386,1421,1,20/12/2011
1566,1659,1,20/12/2011
1566,1660,1,20/12/2011
1566,1316,5,20/12/2011
359,1510,-1,20/12/2011
905,1566,3,20/12/2011
1566,1245,2,20/12/2011
1245,1566,2,20/12/2011
1566,41,3,20/12/2011
41,1566,3,20/12/2011
1629,1661,2,20/12/2011
1661,1629,1,20/12/2011
1612,1386,5,21/12/2011
1386,1612,2,21/12/2011
1585,1386,2,21/12/2011
1386,1662,1,21/12/2011
522,1543,1,21/12/2011
1543,522,2,21/12/2011
1568,1663,10,21/12/2011
1630,545,10,21/12/2011
1566,1575,2,21/12/2011
1575,1566,2,21/12/2011
35,1664,1,21/12/2011
1664,35,1,21/12/2011
1566,1665,1,21/12/2011
1665,1566,1,21/12/2011
1576,1565,1,21/12/2011
1565,1576,1,21/12/2011
363,1636,1,21/12/2011
1566,1666,1,21/12/2011
1666,1566,1,21/12/2011
1665,1636,1,21/12/2011
1636,1665,1,21/12/2011
647,309,2,22/12/2011
1386,1496,1,22/12/2011
1496,1386,1,22/12/2011
882,1386,3,22/12/2011
1615,1654,1,22/12/2011
1281,1217,1,22/12/2011
1566,1252,1,22/12/2011
1252,1566,1,22/12/2011
1566,1668,1,22/12/2011
1668,1566,1,22/12/2011
4,1664,1,22/12/2011
1664,4,1,22/12/2011
1664,1566,1,22/12/2011
1566,1664,1,22/12/2011
1281,1668,1,22/12/2011
775,1669,10,22/12/2011
1217,1669,10,22/12/2011
1217,1437,9,22/12/2011
1668,1281,1,23/12/2011
1317,1612,2,23/12/2011
1612,1317,5,23/12/2011
1585,1670,1,23/12/2011
935,1562,1,23/12/2011
1562,935,1,23/12/2011
1670,1585,1,23/12/2011
1671,1615,1,23/12/2011
1654,1615,1,23/12/2011
1654,1655,1,23/12/2011
1585,64,3,23/12/2011
64,1585,1,23/12/2011
1655,1654,1,23/12/2011
35,1672,1,23/12/2011
35,1657,1,23/12/2011
35,1649,1,23/12/2011
1672,35,1,23/12/2011
1541,905,2,23/12/2011
1615,1655,1,23/12/2011
1566,1615,1,23/12/2011
1566,1673,1,23/12/2011
1673,1566,1,23/12/2011
1662,1541,1,24/12/2011
1541,1662,1,24/12/2011
1636,1657,1,24/12/2011
1670,1383,2,24/12/2011
1657,1636,1,24/12/2011
1636,1667,3,24/12/2011
1566,905,5,24/12/2011
1566,1396,3,24/12/2011
1670,1674,1,24/12/2011
1674,1670,1,24/12/2011
540,1317,3,24/12/2011
1317,540,2,24/12/2011
905,184,1,24/12/2011
184,905,4,24/12/2011
1636,184,1,25/12/2011
1667,1636,4,25/12/2011
1386,1675,1,25/12/2011
1675,1386,1,25/12/2011
1348,579,1,25/12/2011
579,1348,1,25/12/2011
1334,1675,2,25/12/2011
1675,1334,1,25/12/2011
1670,1675,1,25/12/2011
1674,1672,1,26/12/2011
1672,1674,1,26/12/2011
353,1412,1,26/12/2011
1412,353,1,26/12/2011
1636,579,1,26/12/2011
579,1636,1,26/12/2011
1386,1676,1,26/12/2011
1676,1386,1,26/12/2011
579,353,2,26/12/2011
353,579,2,26/12/2011
1403,1585,1,26/12/2011
1657,1566,10,26/12/2011
1647,178,7,26/12/2011
1566,1677,1,26/12/2011
1676,1636,1,26/12/2011
1636,1676,1,26/12/2011
1629,1664,2,27/12/2011
1629,1670,2,27/12/2011
1670,1629,2,27/12/2011
882,1334,1,27/12/2011
35,1678,1,27/12/2011
1678,35,1,27/12/2011
1566,1612,2,27/12/2011
1612,1566,5,27/12/2011
1607,1566,4,27/12/2011
1566,1541,1,27/12/2011
1334,1667,2,27/12/2011
1667,1334,2,27/12/2011
1670,1679,1,27/12/2011
1679,1670,1,27/12/2011
1317,1658,3,28/12/2011
184,1317,2,28/12/2011
1317,184,2,28/12/2011
592,4,1,28/12/2011
4,592,1,28/12/2011
1555,1595,1,28/12/2011
1437,1669,10,28/12/2011
540,1566,4,28/12/2011
1566,540,4,28/12/2011
905,1629,2,28/12/2011
1566,1675,1,28/12/2011
1675,1566,1,28/12/2011
1675,1317,1,28/12/2011
1317,1675,1,28/12/2011
1053,7,5,29/12/2011
1566,1053,3,29/12/2011
1053,1566,4,29/12/2011
1487,1585,1,29/12/2011
1585,1487,1,29/12/2011
7,1596,1,29/12/2011
1596,7,1,29/12/2011
1556,1543,5,29/12/2011
1615,775,1,29/12/2011
1396,1681,1,29/12/2011
1681,1396,1,29/12/2011
1596,1487,1,29/12/2011
1487,1596,1,29/12/2011
775,1615,1,29/12/2011
1386,1682,1,29/12/2011
1682,1386,3,29/12/2011
1566,1683,1,29/12/2011
1683,1566,1,29/12/2011
579,13,1,29/12/2011
13,579,1,29/12/2011
579,1334,1,30/12/2011
1334,579,1,30/12/2011
1317,1677,1,30/12/2011
1053,579,1,30/12/2011
579,1053,1,30/12/2011
1684,1685,1,30/12/2011
1591,1565,1,30/12/2011
1565,1591,1,30/12/2011
775,1686,4,30/12/2011
537,1687,1,30/12/2011
1677,1317,1,30/12/2011
1566,1620,3,31/12/2011
1585,1676,1,31/12/2011
1676,1585,1,31/12/2011
1396,1672,1,31/12/2011
1672,1396,1,31/12/2011
1672,57,1,31/12/2011
1629,1396,1,31/12/2011
1318,827,5,01/01/2012
1596,1584,1,01/01/2012
1584,1596,1,01/01/2012
1595,1555,2,01/01/2012
1396,1687,1,01/01/2012
1396,1629,1,01/01/2012
1687,1396,1,01/01/2012
1564,1548,1,01/01/2012
7,1665,1,01/01/2012
1665,7,1,01/01/2012
1676,1688,1,02/01/2012
1688,1676,1,02/01/2012
1636,1689,1,02/01/2012
1689,1636,1,02/01/2012
1386,1636,1,02/01/2012
1636,1386,1,02/01/2012
283,1556,2,02/01/2012
1556,283,4,02/01/2012
1317,1128,2,02/01/2012
1128,1317,2,02/01/2012
1688,1317,1,02/01/2012
1317,1688,1,02/01/2012
1690,1566,1,02/01/2012
35,1691,1,02/01/2012
1691,35,1,02/01/2012
1647,1502,1,02/01/2012
1502,1647,1,02/01/2012
1555,1499,1,02/01/2012
1499,1555,1,02/01/2012
1689,1,10,03/01/2012
1690,1,10,03/01/2012
1629,1628,1,03/01/2012
1566,1690,3,03/01/2012
1386,1692,1,03/01/2012
1692,1217,2,03/01/2012
1690,25,10,03/01/2012
1692,1647,-1,03/01/2012
905,1647,1,03/01/2012
647,1647,-1,03/01/2012
1585,1396,1,03/01/2012
1281,1615,2,04/01/2012
1615,1281,2,04/01/2012
1611,722,1,04/01/2012
1647,309,-10,04/01/2012
1615,1692,1,05/01/2012
1650,1615,5,05/01/2012
1615,1650,5,05/01/2012
546,1693,1,05/01/2012
1629,104,1,05/01/2012
1,57,6,05/01/2012
1693,546,1,05/01/2012
104,1629,3,05/01/2012
905,1487,3,05/01/2012
1692,1615,2,05/01/2012
1655,1615,2,05/01/2012
35,1694,1,05/01/2012
35,1629,2,05/01/2012
1629,35,2,05/01/2012
905,1591,1,05/01/2012
1655,1690,-1,05/01/2012
15,93,1,05/01/2012
15,1453,1,05/01/2012
93,96,2,05/01/2012
96,93,2,05/01/2012
1566,523,2,05/01/2012
1442,775,2,05/01/2012
523,1566,1,05/01/2012
1620,1566,3,05/01/2012
1629,1696,1,05/01/2012
1696,1629,1,05/01/2012
64,189,3,06/01/2012
1629,1487,1,06/01/2012
1487,1629,1,06/01/2012
1490,937,1,06/01/2012
937,1490,1,06/01/2012
1529,1697,2,06/01/2012
1697,1529,1,06/01/2012
1566,1698,1,06/01/2012
1698,1566,1,06/01/2012
363,1566,2,06/01/2012
1566,363,2,06/01/2012
1591,1386,1,06/01/2012
1386,1591,1,06/01/2012
1543,1556,3,06/01/2012
937,1609,-10,07/01/2012
1639,1566,3,07/01/2012
1543,1693,1,07/01/2012
35,1699,1,07/01/2012
7,1316,2,07/01/2012
1316,7,2,07/01/2012
1658,1317,3,07/01/2012
1700,1396,1,08/01/2012
1701,1702,2,08/01/2012
1702,1701,2,08/01/2012
1620,184,2,08/01/2012
184,1585,1,08/01/2012
1669,1703,1,08/01/2012
1662,1701,10,08/01/2012
174,1701,1,08/01/2012
1701,174,1,08/01/2012
1703,1669,1,08/01/2012
1700,522,1,08/01/2012
522,1700,1,08/01/2012
903,1704,1,09/01/2012
1704,903,1,09/01/2012
540,7,10,09/01/2012
7,540,3,09/01/2012
1396,1702,1,09/01/2012
1702,1396,1,09/01/2012
35,1702,1,09/01/2012
1591,1383,1,09/01/2012
353,1585,1,09/01/2012
1585,353,1,09/01/2012
1383,1700,1,10/01/2012
1700,1383,1,10/01/2012
905,537,1,10/01/2012
913,537,1,10/01/2012
537,913,1,10/01/2012
1396,913,1,10/01/2012
913,1396,1,10/01/2012
1396,1706,1,10/01/2012
1566,1639,2,10/01/2012
1396,1348,1,10/01/2012
1386,353,2,10/01/2012
353,1386,3,10/01/2012
1348,1396,1,10/01/2012
1568,1707,1,11/01/2012
1707,1568,5,11/01/2012
1700,1708,8,11/01/2012
1708,1700,8,11/01/2012
104,882,2,11/01/2012
35,1709,1,11/01/2012
1699,35,1,11/01/2012
1686,1615,5,11/01/2012
1615,1686,5,11/01/2012
1686,1566,5,11/01/2012
1566,1686,5,11/01/2012
1591,1710,1,11/01/2012
1710,1591,1,11/01/2012
1562,1650,1,11/01/2012
1650,1562,1,11/01/2012
1568,1546,1,12/01/2012
1546,1568,1,12/01/2012
1585,1609,-10,12/01/2012
1657,1281,1,12/01/2012
1541,1383,2,12/01/2012
1541,1566,2,12/01/2012
1541,1386,1,12/01/2012
1615,1705,-10,12/01/2012
1386,1396,6,12/01/2012
1555,1,1,12/01/2012
1,1555,1,12/01/2012
1386,537,5,12/01/2012
1386,1529,4,12/01/2012
309,1675,-5,13/01/2012
7,1702,1,13/01/2012
1657,1383,2,13/01/2012
1383,1657,1,13/01/2012
1615,1630,1,13/01/2012
1615,1595,1,13/01/2012
1566,1712,1,13/01/2012
359,1566,2,13/01/2012
1701,1396,1,13/01/2012
1396,1713,1,14/01/2012
1018,1714,1,14/01/2012
1714,1018,1,14/01/2012
1576,1715,1,14/01/2012
1715,1576,1,14/01/2012
1568,1716,1,14/01/2012
64,1386,2,14/01/2012
64,1353,-1,14/01/2012
1499,1714,1,14/01/2012
1714,1499,1,14/01/2012
1562,1629,1,15/01/2012
1629,1562,2,15/01/2012
1562,1615,3,15/01/2012
775,1465,2,15/01/2012
57,1566,3,15/01/2012
1568,1718,2,15/01/2012
1718,1568,2,15/01/2012
1566,359,3,15/01/2012
1566,57,3,15/01/2012
